bi_class,label,n_tracts,mean_svi,mean_eji,sd_svi,sd_eji,PFAS,MP
1-1,Low/Low,99,0.3402141414141414,0.3354787878787879,0.20165970225175261,0.12480424122235269,1,9
1-2,Low/Med,25,0.5288,0.710396,0.149338608537779,0.07407323785731705,1,1
1-3,Low/High,4,0.620275,0.93375,0.13517715228543614,0.027415020213987285,0,0
1-NA,NA,3,0.03233333333333333,NA,0.05324108689098423,NA,1,1
2-1,Med/Low,31,0.791683870967742,0.48793548387096775,0.05231590641971263,0.054531871710569994,0,0
2-2,Med/Med,66,0.8304136363636364,0.7350196969696969,0.0521740899043065,0.0863886036281976,0,0
2-3,Med/High,33,0.848669696969697,0.9274121212121212,0.052205079283823556,0.034803095745706995,0,1
3-2,High/Med,38,0.9430973684210526,0.770671052631579,0.023261817535390188,0.07287959306519559,0,0
3-3,High/High,92,0.9590391304347826,0.940866304347826,0.02410048997049572,0.03360659366613076,0,1
NA-NA,NA,17,NA,NA,NA,NA,6,6
