STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,GEOID_2020,COUNTY,StateDesc,STATEABBR,LOCATION,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,SPL_EJI_CBM,RPL_EJI_CBM,E_MINRTY,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,E_POV200,EPL_POV200,E_NOHSDP,EPL_NOHSDP,E_UNEMP,EPL_UNEMP,E_RENTER,EPL_RENTER,E_HOUBDN,EPL_HOUBDN,E_UNINSUR,EPL_UNINSUR,E_NOINT,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,E_AGE65,EPL_AGE65,E_AGE17,EPL_AGE17,E_DISABL,EPL_DISABL,E_LIMENG,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,E_MOBILE,EPL_MOBILE,E_GROUPQ,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,E_OZONE,EPL_OZONE,E_PM,EPL_PM,E_DSLPM,EPL_DSLPM,E_TOTCR,EPL_TOTCR,SPL_EBM_DOM1,RPL_EBM_DOM1,E_NPL,EPL_NPL,E_TRI,EPL_TRI,E_TSD,EPL_TSD,E_RMP,EPL_RMP,E_COAL,EPL_COAL,E_LEAD,EPL_LEAD,SPL_EBM_DOM2,RPL_EBM_DOM2,E_PARK,EPL_PARK,E_HOUAGE,EPL_HOUAGE,E_WLKIND,EPL_WLKIND,SPL_EBM_DOM3,RPL_EBM_DOM3,E_RAIL,EPL_RAIL,E_ROAD,EPL_ROAD,E_AIRPRT,EPL_AIRPRT,SPL_EBM_DOM4,RPL_EBM_DOM4,E_IMPWTR,EPL_IMPWTR,F_IMPWTR,SPL_EBM_DOM5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,E_ASTHMA,EPL_ASTHMA,F_ASTHMA,E_CANCER,EPL_CANCER,F_CANCER,E_CHD,EPL_CHD,F_CHD,E_MHLTH,EPL_MHLTH,F_MHLTH,E_DIABETES,EPL_DIABETES,F_DIABETES,F_HVM,RPL_HVM,E_NEHD,EPL_NEHD,SPL_CBM_DOM1,RPL_CBM_DOM1,E_BURN,EPL_BURN,E_SMOKE,EPL_SMOKE,SPL_CBM_DOM2,RPL_CBM_DOM2,E_CFLD,EPL_CFLD,F_CFLD,E_DRGT,EPL_DRGT,F_DRGT,E_HRCN,EPL_HRCN,F_HRCN,E_RFLD,EPL_RFLD,F_RFLD,E_SWND,EPL_SWND,F_SWND,E_TRND,EPL_TRND,F_TRND,SPL_CBM_DOM3,RPL_CBM_DOM3,SPL_CBM,RPL_CBM,AFAM,E_AFAM,HISP,E_HISP,ASIAN,E_ASIAN,AIAN,E_AIAN,NHPI,E_NHPI,TWOMORE,E_TWOMORE,OTHERRACE,E_OTHERRACE,Tribe_PCT_Tract,Tribe_Names,Tribe_Flag
42,011,011704,140000US42011011704,42011011704,42011011704,Berks County,Pennsylvania,PA,Census Tract 117.04; Berks County; Pennsylvania,2451,287,1459,1.0334,0.3501,0.6334,0.2307,1.7812,0.4856,6.3,0.0848,0.0848,0.0848,15.5876,0.2283,3.6,0.1965,0.7,0.0488,13,0.1808,16.1,0.2058,3.8,0.267,4.3,0.1864,1.3136,0.0706,18,0.591,21.9,0.5169,10.3,0.3319,0,0,1.4398,0.1375,0,0,0.2,0.443,0.443,0.2021,3.2812,0.0378,0.274,0.5463,0.548,0.8557,0.1847,0.4069,20,0.0434,1.8523,0.6353,0,0,0,0,0,0,0,0,25.0689,0.9982,0,0,0.9982,0.4406,39.9384,0.815,47.9,0.4158,5.2778,0.8449,2.0757,0.8472,1.1818,0.3424,69.6123,0.4335,0,0,0.7759,0.3665,0.691,0.6253,0,0.6253,0.6253,6.3274,0.5956,10.4,0.4446,0,10.1,0.8054,1,8,0.6859,1,15.2,0.2933,0,11.3,0.4116,0,2,0.4,10.6,0.3274,0.3274,0.3274,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,3.5,0.2012,9,0.0818,0.5755,9,5.2083,0.9027,9,7.3972,0.9508,9,0,0,0,2.6302,0.8527,3.2687,0.7478,2,0.1,41,1.7,54,2.2,0,0,0,0,57,2.3,0,0,0,-999,-999
42,011,012001,140000US42011012001,42011012001,42011012001,Berks County,Pennsylvania,PA,Census Tract 120.01; Berks County; Pennsylvania,2262,414,3398,2.1574,0.8959,1.5574,0.864,2.9023,0.9506,16.7,0.2806,0.2806,0.2806,30.6873,0.5589,15.1,0.7396,8.4,0.8032,9.1,0.1036,35.2,0.7747,1.7,0.0922,24.9,0.904,3.9762,0.616,22.3,0.7849,19.9,0.3899,12.1,0.4601,0.3,0.2859,1.9208,0.4373,19.7,0.8913,0.3,0.5046,1.3959,0.8314,7.5735,0.6386,0.274,0.5463,0.456,0.8477,0.2214,0.5073,30,0.4976,2.3989,0.8255,0,0,93.7508,0.811,79.9389,0.7698,32.6576,0.8621,0,0,0,0,2.4429,0.8878,100,0.5514,53,0.4714,8.1667,0.5531,1.5759,0.4324,99.7948,0.8034,93.4885,0.535,0,0,1.3384,0.6531,0.656,0.6072,0,0.6072,0.6072,8.3633,0.9188,11.3,0.7042,1,9.7,0.7456,1,8.4,0.7441,1,17.1,0.5194,0,12.4,0.5466,0,3,0.6,10.8,0.3405,0.3405,0.3405,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,3.1818,0.1831,9,0.0818,0.5755,9,5.2083,0.9027,9,7.3972,0.9508,9,0,0,0,2.6121,0.8461,3.2637,0.7449,27,1.2,21,0.9,0,0,0,0,0,0,320,14.1,10,0.4,0,-999,-999
42,011,012003,140000US42011012003,42011012003,42011012003,Berks County,Pennsylvania,PA,Census Tract 120.03; Berks County; Pennsylvania,2140,280,1862,1.2172,0.4637,0.8172,0.3685,1.9688,0.5912,23.7,0.3875,0.3875,0.3875,11.1214,0.131,7.8,0.4586,0,0,13.1,0.1827,11.6,0.0808,0.7,0.0287,5.9,0.2708,1.1526,0.0517,20,0.69,22.5,0.5562,11.3,0.4044,0,0,1.6506,0.2388,0,0,0.2,0.443,0.443,0.2021,3.6337,0.0616,0.274,0.5463,0.685,0.8652,0.2535,0.5848,20,0.0434,2.0397,0.7062,0,0,91.123,0.7999,44.7234,0.6844,0,0,0,0,0,0,1.4843,0.6131,100,0.5514,61.5,0.5672,7.7667,0.588,1.7066,0.5677,85.0083,0.7277,100,0.6136,0,0,1.3413,0.6551,0.647,0.6014,0,0.6014,0.6014,7.1733,0.7556,10.3,0.4145,0,10.3,0.8311,1,8,0.6859,1,15.1,0.2822,0,11.2,0.3988,0,2,0.4,11,0.3526,0.3526,0.3526,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,3.1818,0.1831,9,0.0818,0.5755,9,5.2083,0.9027,9,7.3972,0.9508,9,0,0,0,2.6121,0.8461,3.2758,0.7516,0,0,456,21.3,7,0.3,0,0,0,0,44,2.1,0,0,0,-999,-999
42,029,302704,140000US42029302704,42029302704,42029302704,Chester County,Pennsylvania,PA,Census Tract 3027.04; Chester County; Pennsylvania,5152,538,2497,0.5906,0.1134,0.5906,0.2024,1.4155,0.2832,9.8,0.1591,0.1591,0.1591,6.4346,0.045,0.3,0.015,2.9,0.2837,5,0.0422,12.3,0.0964,1.1,0.0509,4.9,0.2188,0.752,0.0178,17.2,0.5465,21.2,0.4717,6.8,0.1114,0.4,0.3193,1.4489,0.1409,0,0,0.1,0.3697,0.3697,0.1668,2.7297,0.0143,0.365,0.6153,0.091,0.5886,0.2852,0.654,30,0.4976,2.3555,0.8137,0,0,52.5364,0.6693,52.5364,0.7049,0,0,0,0,0,0,1.3742,0.5679,100,0.5514,35.1,0.2851,10,0.4241,1.2606,0.1609,0,0,77.3653,0.4628,0,0,0.4628,0.1494,0.939,0.7856,0,0.7856,0.7856,6.2387,0.5763,9.2,0.1418,0,8.9,0.6162,0,5,0.1516,0,11.4,0.0285,0,7.9,0.0748,0,0,0,11,0.3526,0.3526,0.3526,0,0,6.8,0.3348,0.3348,0.3318,0,0,0,5.4091,0.302,9,0.0818,0.5755,9,5.5833,0.9272,9,7.3974,0.9526,9,0,0,0,2.7573,0.9027,3.4447,0.8249,13,0.3,153,3,203,3.9,0,0,0,0,134,2.6,0,0,0,-999,-999
42,029,303501,140000US42029303501,42029303501,42029303501,Chester County,Pennsylvania,PA,Census Tract 3035.01; Chester County; Pennsylvania,4290,297,7945,0.7515,0.1859,0.5515,0.1777,1.5389,0.3496,11.4,0.1892,0.1892,0.1892,8.3572,0.0765,2.8,0.1448,4.6,0.4996,5.4,0.0476,11,0.0688,1.9,0.1075,2.7,0.1062,1.051,0.0416,24.8,0.8575,19,0.335,7.1,0.1261,1.6,0.5499,1.8685,0.3946,0.8,0.524,3.8,0.8733,1.3973,0.8319,4.506,0.1484,0.274,0.5463,0.091,0.5886,0.2014,0.4545,20,0.0434,1.6328,0.5537,0,0,1.7866,0.355,1.7866,0.4789,0,0,0,0,0,0,0.8339,0.3654,66.0925,0.7349,24.5,0.195,7.8889,0.5764,1.5063,0.3592,3.5004,0.3654,46.4649,0.3472,0,0,0.7126,0.3458,0.909,0.7575,0,0.7575,0.7575,5.4431,0.4031,9.5,0.2032,0,11.3,0.9196,1,6.6,0.4422,0,11.7,0.0378,0,9.5,0.1952,0,1,0.2,9,0.2205,0.2205,0.2205,0,0,6.9,0.3484,0.3484,0.3454,0,0,0,6.0455,0.3257,9,0.0765,0.5729,9,5.5833,0.9272,9,7.4565,0.9594,9,0,0,0,2.7852,0.9091,3.3541,0.7874,75,1.7,228,5.3,65,1.5,0,0,0,0,122,2.8,0,0,0,-999,-999
42,029,304406,140000US42029304406,42029304406,42029304406,Chester County,Pennsylvania,PA,Census Tract 3044.06; Chester County; Pennsylvania,3550,376,12737,0.6998,0.16,0.4998,0.147,1.5093,0.3338,6.9,0.0972,0.0972,0.0972,5.2676,0.0288,1.2,0.0508,0.7,0.0488,37.4,0.6082,23.2,0.4619,1.8,0.1001,4,0.1714,1.47,0.0906,27.7,0.9116,17.7,0.265,11,0.3826,0,0,1.5592,0.1894,0,0,0,0,0,0,3.1264,0.0297,0.274,0.5463,0.365,0.8216,0.2375,0.5467,20,0.0434,1.958,0.6718,0,0,73.2473,0.7371,68.8928,0.7437,0,0,0,0,0,0,1.4808,0.6116,100,0.5514,7.6,0.0752,6.9583,0.6701,1.2967,0.1841,0,0,74.5831,0.4525,0,0,0.4525,0.145,0.578,0.5573,0,0.5573,0.5573,5.7453,0.4701,9.4,0.1813,0,11.8,0.9421,1,6.9,0.5003,0,11.2,0.0234,0,9.7,0.2165,0,1,0.2,10.8,0.3405,0.3405,0.3405,0,0,6.7,0.3258,0.3258,0.3229,0,0,0,5.0909,0.2905,9,0.0818,0.5755,9,5.5833,0.9272,9,7.3972,0.9508,9,0,0,0,2.744,0.8977,3.4103,0.8095,33,0.9,91,2.6,77,2.2,0,0,0,0,44,1.2,0,0,0,-999,-999
42,011,011800,140000US42011011800,42011011800,42011011800,Berks County,Pennsylvania,PA,Census Tract 118; Berks County; Pennsylvania,5106,18,2925,1.2723,0.4963,1.0723,0.5761,2.0172,0.6173,11,0.182,0.182,0.182,27.2816,0.4869,7.6,0.4483,6.1,0.6501,29.3,0.4928,26.3,0.5615,4.5,0.327,9.8,0.4696,3.4362,0.4882,16.9,0.5302,19.7,0.3775,12.9,0.5139,0,0,1.4216,0.131,0,0,0.1,0.3697,0.3697,0.1668,5.4095,0.2723,0.274,0.5463,0.365,0.8216,0.1909,0.4253,30,0.4976,2.2908,0.7901,0,0,99.6324,0.8489,99.1673,0.8323,0,0,0,0,0,0,1.6812,0.6994,100,0.5514,67.2,0.6318,7.5556,0.6092,1.7924,0.6457,100,0.8112,20.2973,0.2294,0,0,1.0406,0.486,0.715,0.6396,0,0.6396,0.6396,7.4446,0.8,11.4,0.7278,1,8.2,0.5167,0,6.7,0.4623,0,18,0.6235,0,10.2,0.2733,0,1,0.2,10.8,0.3405,0.3405,0.3405,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,3.1818,0.1831,9,0.0818,0.5755,9,5.2083,0.9027,9,7.3972,0.9508,9,0,0,0,2.6121,0.8461,3.2637,0.7449,175,3.4,85,1.7,12,0.2,0,0,0,0,290,5.7,0,0,0,-999,-999
42,011,012107,140000US42011012107,42011012107,42011012107,Berks County,Pennsylvania,PA,Census Tract 121.07; Berks County; Pennsylvania,3628,659,1828,0.7145,0.1671,0.5145,0.1555,1.4594,0.3073,23.1,0.3787,0.3787,0.3787,9.27,0.0938,3.7,0.2032,7.1,0.7275,4,0.0303,22.7,0.4455,5.4,0.3983,5.7,0.2606,2.1592,0.2064,21.3,0.7477,21.3,0.4783,7.2,0.1311,0,0,1.3571,0.1099,0,0,0.1,0.3697,0.3697,0.1668,4.2647,0.1199,0.274,0.5463,0.685,0.8652,0.2222,0.5093,30,0.4976,2.4184,0.8297,0,0,17.7628,0.5227,0,0,0,0,0,0,0,0,0.5227,0.2408,100,0.5514,33.2,0.2683,7.8333,0.5834,1.4031,0.2637,0,0,15.507,0.2,0,0,0.2,0.0709,0.997,0.8593,0,0.8593,0.8593,5.4035,0.3946,10,0.3285,0,9.3,0.6799,1,6.1,0.3455,0,14,0.1741,0,9.5,0.1952,0,1,0.2,10.8,0.3405,0.3405,0.3405,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,3.1818,0.1831,9,0.0818,0.5755,9,5.2083,0.9027,9,7.3972,0.9508,9,0,0,0,2.6121,0.8461,3.2637,0.7449,316,8.7,224,6.2,173,4.8,0,0,0,0,125,3.4,0,0,0,-999,-999
42,011,013100,140000US42011013100,42011013100,42011013100,Berks County,Pennsylvania,PA,Census Tract 131; Berks County; Pennsylvania,5113,17,7416,1.0932,0.3872,0.8932,0.4305,1.8443,0.5221,7.4,0.1083,0.1083,0.1083,9.5834,0.0993,7.6,0.4483,6.1,0.6501,14.3,0.208,17.5,0.2551,5.3,0.3909,7.1,0.3345,2.3862,0.2515,20.6,0.7179,19.5,0.3644,9.8,0.2957,0.9,0.4413,1.8193,0.3557,2.3,0.6233,0,0,0.6233,0.3535,4.9371,0.2034,0.274,0.5463,0.365,0.8216,0.1834,0.4029,20,0.0434,1.8142,0.6223,0,0,76.6788,0.7489,50.2064,0.6993,0,0,0,0,0,0,1.4482,0.5976,80.7668,0.6855,66.6,0.6246,8.2963,0.54,1.8501,0.6933,34.2581,0.547,88.8808,0.5112,0,0,1.0582,0.4949,0.7,0.632,0,0.632,0.632,6.8027,0.6898,10.6,0.5055,0,9.9,0.7768,1,7.5,0.6064,0,15.4,0.3154,0,10.8,0.3476,0,1,0.2,11.8,0.4222,0.4222,0.4222,0,0,6.5,0.3111,0.3111,0.3084,0,0,1,2.8636,0.1691,9,0.062,0.5458,9,5.2083,0.9027,9,6.7152,0.924,9,0,0,0,2.5416,0.8183,3.2749,0.7511,21,0.4,132,2.6,53,1,0,0,0,0,172,3.4,0,0,0,-999,-999
42,011,013404,140000US42011013404,42011013404,42011013404,Berks County,Pennsylvania,PA,Census Tract 134.04; Berks County; Pennsylvania,3646,23,1308,0.7512,0.1858,0.5512,0.1775,1.4898,0.3234,5.5,0.068,0.068,0.068,11.1354,0.1313,4.3,0.2435,2.4,0.2188,8.4,0.091,11.1,0.0707,4,0.2851,14.2,0.6543,1.6947,0.1236,21.2,0.7439,20.1,0.4026,10.6,0.3534,0,0,1.4999,0.162,1.7,0.592,0,0,0.592,0.3315,3.8546,0.0795,0.274,0.5463,0.548,0.8557,0.1679,0.3584,20,0.0434,1.8038,0.6184,0,0,3.8005,0.3957,3.8024,0.5058,0,0,0,0,0,0,0.9015,0.411,61.289,0.7501,46.9,0.4048,3.6667,0.9665,2.1214,0.872,8.2866,0.4015,0,0,0,0,0.4015,0.1264,0.52,0.5241,0,0.5241,0.5241,5.7523,0.4717,10.2,0.3849,0,10.2,0.8184,1,7.5,0.6064,0,14.1,0.1832,0,10.7,0.3345,0,1,0.2,11.8,0.4222,0.4222,0.4222,0,0,6.7,0.3258,0.3258,0.3229,0,0,1,2.5455,0.1423,9,0.0584,0.5386,9,5.2083,0.9027,9,6.5933,0.9176,9,0.0278,0,2,2.5012,0.8008,3.2492,0.7386,13,0.4,37,1,51,1.4,0,0,0,0,16,0.4,83,2.3,0,-999,-999
42,013,010800,140000US42013010800,42013010800,42013010800,Blair County,Pennsylvania,PA,Census Tract 108; Blair County; Pennsylvania,3508,271,2839,1.1751,0.4381,0.7751,0.3344,1.4639,0.31,5,0.0578,0.0578,0.0578,36.7323,0.672,9.4,0.5399,4.2,0.4524,17.8,0.2821,21,0.3841,10,0.6715,18.1,0.7774,3.7794,0.5694,17.2,0.5465,20.7,0.441,18.6,0.8101,0.2,0.2539,2.0515,0.5539,8.3,0.7648,5.4,0.9109,1.6757,0.9559,7.5644,0.6368,0,0,0.091,0.5886,0.1168,0.2082,20,0.0434,0.8402,0.2348,0,0,4.9389,0.4123,0,0,0,0,0,0,0,0,0.4123,0.1978,18.9543,0.8887,72.3,0.6895,5.5417,0.8186,2.3968,0.9746,0,0,16.6599,0.2074,0,0,0.2074,0.0725,0.077,0.2005,0,0.2005,0.2005,4.0572,0.1383,11.1,0.652,0,9.3,0.6799,1,8.7,0.7836,1,18.1,0.6338,0,12.6,0.5695,0,2,0.4,13.8,0.5851,0.5851,0.5851,0,0,6.8,0.3348,0.3348,0.3318,0,0,1,0,0,0,0.0526,0.5233,9,1.625,0.4179,9,2.7368,0.5772,9,0,0,0,1.5184,0.347,2.4383,0.2888,36,1,44,1.3,4,0.1,0,0,0,0,78,2.2,12,0.3,0,-999,-999
