WKT,name,description
"POINT (-75.2420508 40.0371469)",MP-01 Manayunk Canal,Paired samples to study co-occurrence of PFAS and MPs from same sources.
"POINT (-75.2075734 40.0127637)",MP-02 Wissahickon Confluence,Paired samples to study co-occurrence of PFAS and MPs from same sources.
"POINT (-75.1969333 39.9920548)",MP-03 Before CSOs,Paired samples to study co-occurrence of PFAS and MPs from same sources.
"POINT (-75.1840869 39.9652121)",MP-04 Below Fairmount Dam,Paired samples to study co-occurrence of PFAS and MPs from same sources.
"POINT (-75.1807394 39.9535626)",MP-05 Market Street,Paired samples to study co-occurrence of PFAS and MPs from same sources.
"POINT (-75.1909668 39.9438578)",MP-06 University City Hospital,Paired samples to study co-occurrence of PFAS and MPs from same sources.
"POINT (-75.2069997 39.9337759)",MP-07 Gray's Ferry,Paired samples to study co-occurrence of PFAS and MPs from same sources.
"POINT (-75.2019766 39.9198476)",MP-08 Mingo Confluence,Paired samples to study co-occurrence of PFAS and MPs from same sources.
"POINT (-75.2108635 39.897269)",MP-09 Passyunk Avenue Bridge,Paired samples to study co-occurrence of PFAS and MPs from same sources.
"POINT (-75.1946406 39.8849223)",MP-10 Delaware Confluence,Paired samples to study co-occurrence of PFAS and MPs from same sources.
"POINT (-75.2183486 40.1373374)",MP-11 Upstream Fort Washington,Captures upstream "background" for the creek.
"POINT (-75.2191903 40.1129228)",MP-12 Valley Green Road Bridge,
"POINT (-75.2254664 40.079223)",MP-13 Bells Mill Road Bridge,After college and country club.
"POINT (-75.2145974 40.050751)",MP-14 Cresheim Creek Confluence,
"POINT (-75.2118054 40.0432076)",MP-15 Gorgas Outlet,
"POINT (-75.2015802 40.0364305)",MP-16 Kitchens Lane Outlet,
"POINT (-75.1996467 40.032356)",MP-17 Walnut Lane Bridge,
"POINT (-75.193171 40.0275525)",MP-18 Monoshone Creek Confluence,
"POINT (-75.1961098 40.0239748)",MP-19 Henry Avenue Bridge,
"POINT (-75.3113515 40.0021978)",MP-20 Haverford,Upstream densest Philly area. Merion Golf Club.
"POINT (-75.2829718 39.9768043)",MP-21 Before Major CSOs,Suburban area.
"POINT (-75.2604106 39.9662599)",MP-22 Indian Creek Confluence,SEPTA Depot
"POINT (-75.2485638 39.9642855)",MP-23 Multiple CSOs,
"POINT (-75.2500555 39.9576965)",MP-24 Marshall Road,Near PWD Stream Restoration project.
"POINT (-75.2394067 39.9406522)",MP-25 Cobbs Creek Park,High-use urban park in dense neighborhood.
"POINT (-75.2380757 39.9325908)",MP-26 Cobbs Creek Parkway,After major CSOs. Green space.
"POINT (-75.2550955 39.9058464)",MP-27 Darby Confluence,Captures total load from Cobbs.
