GEOID,pop_total,pop_density,area_mi,male,female,under_5_yrs,5_to_9_yrs,10_to_14_yrs,15_to_17_yrs,18_to_24_yrs,25_to_34_yrs,35_to_44_yrs,45_to_54_yrs,55_to_64_yrs,65_to_74_yrs,75_to_84_yrs,85_over_yrs,white,black,native,asian,pacific,other_race,two_more_races,occupied_housing,occupied_renter,avg_household_size,SE_A10003B_001,less_hs,hs_more,some_college,bach_more,mast_more,professional_more,doctorate,16_to_19_yrs,16_to_19_yrs_drop_out,16_to_19_yrs_in_school,med_h_inc,housing_units,housing_occupied,housing_vacant,vacant_units,vacant_rent,vacant_sale,vacant_other,unit_1,unit_1_detached,unit_1_attached,unit_2,unit_3_or_4,unit_5_to_9,unit_10_to_19,unit_20_to_49,unit_50_more,mobile_home,boat_rv_van_etc,med_year_built,poverty_pop_determined,no_health_insurance,health_insured,public_health_insurance,private_health_insurance
42101000101,1996,14691.291779260284,0.135862797,690,1306,16,0,0,0,80,1116,275,221,59,98,60,71,1725,47,0,73,0,95,56,1492,1114,1.34,1.36,17,1883,1837,1802,972,403,161,0,0,0,108438,1600,1492,108,108,108,0,0,80,0,80,50,126,119,288,724,213,0,0,1944,1996,0,1996,288,1940
42101000102,3025,17629.630489059873,0.17158612608909607,1764,1261,175,18,16,0,295,1206,558,307,211,97,142,0,2609,77,0,217,0,63,59,2033,1266,1.47,1.33,122,2399,2345,2275,1022,396,111,0,0,0,108203,2259,2033,226,226,102,0,124,218,36,182,53,175,94,145,332,1242,0,0,1938,3009,106,2899,246,2773
42101000200,3259,21854.14777114616,0.14912500977516174,1815,1444,11,159,104,76,358,794,267,636,230,302,221,101,1490,264,0,1392,0,10,103,1742,932,1.78,1.82,395,2156,1722,1409,468,268,126,126,9,117,97256,1883,1742,141,141,66,0,75,88,0,88,87,407,136,26,235,904,0,0,1974,3158,153,3106,917,2513
42101000300,4236,20083.931485776226,0.21091488003730777,1876,2360,85,50,30,9,535,1471,497,160,493,313,284,309,2639,493,2,664,0,65,373,2804,2268,1.4,1.3,19,3508,3384,2898,1758,978,374,174,0,174,102330,2998,2804,194,194,95,0,99,310,41,269,51,252,199,36,118,2032,0,0,1977,3941,38,4159,978,3919
42101000401,2857,34124.995474385076,0.083721623,1358,1499,51,38,107,14,165,1096,298,317,202,329,195,45,1437,605,0,661,0,52,102,2079,1422,1.36,1.27,105,2377,2222,1953,1063,404,142,14,0,14,89663,2356,2079,277,277,35,0,242,6,0,6,62,17,50,104,257,1845,15,0,1959,2857,45,2812,754,2248
42101000403,1046,19404.13279648173,0.053906042128801346,565,481,0,0,0,0,35,235,225,197,247,96,11,0,842,28,7,105,0,10,54,698,211,1.5,1.27,15,996,934,807,395,120,17,4,0,4,187743,808,698,110,110,26,42,42,30,12,18,0,0,0,0,30,748,0,0,1986,1046,53,993,175,878
42101000404,2815,44433.43853627392,0.063353188,1320,1495,0,0,11,0,175,889,208,266,222,431,432,181,2232,151,0,263,0,0,169,2163,1156,1.3,1.31,26,2603,2280,1792,890,284,71,43,0,43,93998,2721,2163,558,558,245,17,296,89,58,31,0,0,49,39,48,2496,0,0,1966,2804,27,2788,1096,2403
42101000500,3292,19885.811761918667,0.16554516553878784,1951,1341,11,80,6,0,285,1369,809,334,294,100,4,0,1351,1105,39,578,0,32,187,1480,1389,1.39,1.37,299,2611,1814,1455,728,411,81,51,0,51,68977,1654,1480,174,174,107,26,41,30,15,15,0,35,14,5,161,1409,0,0,1982,2184,149,2104,435,1765
42101000600,1859,27887.23941107372,0.066661313,995,864,0,0,0,0,320,1247,57,43,60,86,40,6,1279,160,4,372,0,0,44,1188,1179,1.5,1.5,33,1506,1456,1421,797,408,77,70,0,70,145036,1554,1188,366,366,301,0,65,28,20,8,48,78,48,80,133,1137,2,0,1943,1785,30,1808,172,1751
42101000701,2024,37310.83999,0.054246969521045685,941,1083,0,0,0,0,212,857,287,45,324,190,88,21,1605,71,0,310,0,21,17,1512,1169,1.33,1.28,135,1677,1635,1523,744,365,157,4,0,4,90343,1784,1512,272,272,185,0,87,93,38,55,20,0,25,33,299,1288,26,0,1938,2014,18,2006,282,1881
42101000702,2031,49535.89086397175,0.041000574827194214,1172,859,0,28,0,0,161,1181,118,28,109,272,134,0,1064,61,20,516,0,136,234,1446,1103,1.4,1.37,18,1824,1683,1535,856,201,144,15,0,15,63200,1696,1446,250,250,126,13,111,158,64,94,31,46,183,114,53,1111,0,0,1971,2031,25,2006,500,1823
42101000801,1716,44463.31188646217,0.038593616,779,937,56,90,40,0,308,542,174,111,248,115,32,0,1252,34,0,171,0,14,245,990,645,1.73,1.54,9,1213,1206,1159,711,385,138,0,0,0,130096,1147,990,157,157,0,0,157,244,24,220,54,39,160,20,46,584,0,0,1938,1674,23,1684,237,1586
42101000803,3580,60672.92041313949,0.059004907,1769,1811,20,46,41,20,357,963,433,439,354,381,440,86,2919,67,0,275,0,101,218,2338,1242,1.53,1.39,0,3096,2989,2616,1593,815,219,33,0,33,86538,2607,2338,269,269,141,48,80,435,211,224,88,74,385,291,226,1108,0,0,1953,3579,114,3466,1013,3260
42101000805,2512,90065.33821751109,0.027890863,1292,1220,88,0,0,3,207,1090,177,268,214,288,177,0,1891,12,0,411,0,12,186,1896,1418,1.31,1.31,90,2124,2063,1942,1243,617,228,5,0,5,90741,2310,1896,414,414,284,50,80,62,30,32,28,33,221,95,73,1798,0,0,1949,2481,37,2475,599,2300
42101000806,2347,83033.29826467346,0.028265769,1166,1181,0,0,45,0,150,1143,366,161,182,202,72,26,1846,88,11,298,0,9,95,1673,1266,1.4,1.43,8,2144,2082,1812,968,670,92,0,0,0,179609,2006,1673,333,333,184,0,149,58,10,48,12,0,47,8,64,1809,8,0,1973,2347,81,2266,362,2214
42101000901,2127,52211.65894111589,0.040738027542829514,1040,1087,20,14,33,23,329,835,303,177,169,134,38,52,1174,427,0,267,0,114,145,1597,1410,1.31,1.33,106,1602,1526,1324,671,304,98,52,0,52,51384,1858,1597,261,261,166,0,95,83,24,59,11,190,164,168,112,1130,0,0,1938,2127,92,2028,429,1725
42101000902,2714,45301.04630198645,0.059910316,1301,1413,0,0,34,23,593,718,210,118,256,238,357,167,1865,145,0,555,0,96,53,1367,1216,1.55,1.51,194,1870,1576,1381,545,357,96,177,0,177,85271,1497,1367,130,130,102,0,28,94,19,75,93,168,122,38,74,908,0,0,1976,2114,45,2669,908,2065
42101001001,2816,31793.540119209018,0.088571452,1155,1661,55,65,38,5,140,540,338,83,357,534,440,221,2534,33,0,159,3,16,71,1741,812,1.62,1.66,77,2436,2312,2039,1025,662,269,5,0,5,114205,1990,1741,249,249,56,38,155,347,29,318,56,104,195,12,72,1204,0,0,1966,2816,85,2731,1266,2302
42101001002,3493,19181.02920032289,0.18210701644420624,1610,1883,88,57,93,47,215,635,328,294,419,685,422,210,3011,28,0,385,0,0,69,2224,702,1.54,1.37,64,2929,2802,2536,1487,986,283,37,0,37,137250,2569,2224,345,345,104,0,241,666,101,565,80,151,251,115,173,1133,0,0,1963,3464,48,3416,1336,2921
42101001101,4429,65921.44449249885,0.067186028,1793,2636,56,162,191,0,959,1667,395,322,185,144,222,126,2688,748,0,373,0,24,596,2539,1986,1.57,1.52,243,2818,2612,2193,958,394,176,164,0,164,61850,2558,2539,19,19,0,0,19,529,58,471,135,400,295,391,252,556,0,0,1944,4049,222,4207,1130,3381
42101001102,2960,37568.61645728571,0.078789167,1454,1506,170,27,75,11,229,864,568,322,337,299,47,11,2236,172,12,212,42,0,286,1584,801,1.85,1.58,12,2436,2350,2272,1336,633,269,33,0,33,136310,1707,1584,123,123,8,27,88,520,22,498,37,142,490,238,139,129,12,0,1938,2938,48,2912,395,2690
42101001201,4119,32569.065556545014,0.1264697015285492,2124,1995,180,168,81,142,333,1437,546,502,349,283,75,23,3473,228,0,102,0,35,281,2094,1160,1.96,1.81,6,3209,3029,2825,1999,997,456,101,0,101,119683,2349,2094,255,255,92,0,163,1187,143,1044,83,78,681,178,80,62,0,0,1938,4117,30,4089,503,3856
42101001203,1883,47619.92797695465,0.039542268961668015,893,990,46,49,56,4,23,854,290,154,219,151,36,1,1630,35,0,112,0,28,78,1189,871,1.58,1.35,3,1702,1674,1548,693,270,123,4,0,4,107537,1238,1189,49,49,0,0,49,295,11,284,42,198,244,12,117,330,0,0,1938,1876,0,1876,195,1790
