ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
42,Pennsylvania,PA,42101,Philadelphia County,42101000101,Census Tract 1.01; Philadelphia County; Pennsylvania,0.135862730066,1947,296,1558,196,1413,223,61,48,83,86,275,147,15,25,0,11,209,136,40,47,183,131,0,15,15,48,415,386,1237,277,0,11,16,27,549,230,0,11,3.1,2.4,5.1,5.3,19.5,9.9,0.8,1.4,0.0,1.5,10.7,7.2,2.1,2.3,9.4,6.9,0.0,1.1,0.8,2.5,21.3,19.6,79.4,14.7,0.0,1.9,1.1,1.9,38.9,13.0,0.0,0.6,0.0311,0.5576,0.3809,0.0346,0.0,1.0042,0.0933,0.1157,0.0141,0.1862,0.0,0.5775,0.8935,0.0221,0.6118,0.6118,0.6118,0.9912,0.0,0.5882,0.9541,0.0,2.5335,0.6415,5.043,0.1139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,12104,0,11,15,25,248,159,101,72,0,11,0,11,51,52,0,11,0.0,2.1,0.8,1.3,12.7,7.5,5.2,3.6,0.0,1.5,0.0,1.5,2.6,2.7,0.0,1.5
42,Pennsylvania,PA,42101,Philadelphia County,42101000102,Census Tract 1.02; Philadelphia County; Pennsylvania,0.171586045412,2897,476,2130,336,1960,354,194,108,115,111,304,137,106,124,149,111,236,108,162,109,164,96,0,15,0,44,387,671,1670,355,0,11,44,42,617,174,35,5,6.8,3.6,4.9,4.7,15.5,6.4,4.3,4.8,5.2,3.9,8.1,3.8,5.6,3.4,5.7,3.4,0.0,0.8,0.0,1.6,13.4,23.1,78.4,11.2,0.0,1.4,2.2,2.1,31.5,9.7,1.2,0.3,0.1407,0.5306,0.195,0.2916,0.5959,1.7538,0.2736,0.0586,0.0264,0.0388,0.0,0.0,0.1238,0.0024,0.455,0.455,0.455,0.9906,0.0,0.7565,0.9188,0.6912,3.3571,0.9159,5.6897,0.1927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,7745,10,16,117,94,104,102,116,81,0,11,0,11,50,60,0,11,0.5,0.8,4.0,3.3,3.6,3.5,4.0,2.9,0.0,1.0,0.0,1.0,1.7,2.1,0.0,1.0
42,Pennsylvania,PA,42101,Philadelphia County,42101000200,Census Tract 2; Philadelphia County; Pennsylvania,0.149124947664,3486,577,1828,432,1686,431,685,291,148,113,427,133,555,194,202,126,542,197,414,151,257,137,85,77,466,158,2112,864,1400,429,0,11,84,67,621,148,184,9,20.3,7.9,6.3,4.9,25.3,4.5,20.2,7.9,5.8,3.6,15.5,6.4,11.9,4.1,7.4,4.2,5.0,4.4,13.4,4.0,60.6,22.7,76.6,14.9,0.0,1.6,5.0,3.8,36.8,13.1,5.3,0.9,0.6237,0.6669,0.6003,0.9352,0.6511,3.4772,0.8017,0.3094,0.0838,0.0922,0.5541,0.9701,2.0096,0.2429,0.8755,0.8755,0.8755,0.9897,0.0,0.9291,0.9444,0.8834,3.7466,0.98,10.1089,0.8558,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0,19009,111,77,161,78,174,101,1724,443,0,11,0,11,53,68,0,11,6.6,4.7,4.6,2.3,5.0,2.9,49.5,13.2,0.0,0.9,0.0,0.9,1.5,2.0,0.0,0.9
42,Pennsylvania,PA,42101,Philadelphia County,42101000300,Census Tract 3; Philadelphia County; Pennsylvania,0.210914781234,3914,479,2582,355,2347,374,317,105,90,70,493,175,31,40,39,31,908,328,280,142,323,104,11,19,145,145,1694,590,1919,380,0,11,39,34,1288,340,311,5,8.8,2.7,3.8,2.9,21.0,6.7,1.0,1.3,1.0,0.8,23.2,6.8,7.2,3.3,8.4,2.7,0.5,0.8,3.8,3.8,43.3,14.1,74.3,10.6,0.0,1.2,1.6,1.4,54.9,8.9,7.9,1.0,0.218,0.3901,0.4415,0.0422,0.0699,1.1617,0.1244,0.751,0.0357,0.1348,0.0629,0.8682,1.8526,0.18,0.8113,0.8113,0.8113,0.9877,0.0,0.6824,0.9897,0.9174,3.5772,0.9591,7.4028,0.4787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,31026,84,54,335,143,230,109,758,277,0,11,0,11,331,328,40,47,3.6,2.3,8.6,3.9,5.9,2.8,19.4,6.8,0.0,0.8,0.0,0.8,8.5,7.7,1.0,1.2
42,Pennsylvania,PA,42101,Philadelphia County,42101000401,Census Tract 4.01; Philadelphia County; Pennsylvania,0.083721585476,2675,453,2267,306,1957,316,639,323,8,13,585,218,98,77,6,10,574,314,127,87,427,294,0,15,270,286,1207,581,2093,320,0,11,57,39,1141,260,48,4,24.3,11.6,0.5,0.8,29.9,10.0,4.1,3.3,0.2,0.4,21.5,10.1,4.7,3.0,16.1,9.8,0.0,0.8,10.2,10.6,45.1,20.3,92.3,6.6,0.0,1.3,2.9,1.9,58.3,8.7,1.8,0.3,0.7092,0.0235,0.7312,0.2723,0.0126,1.7488,0.271,0.654,0.022,0.6373,0.0,0.954,2.2673,0.3885,0.8183,0.8183,0.8183,0.9965,0.0,0.8312,0.9924,0.7386,3.5587,0.9556,8.3931,0.6487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,19792,103,74,397,265,97,85,563,205,0,11,0,11,119,84,31,50,5.3,3.9,14.8,8.8,3.6,3.3,21.0,7.7,0.0,1.1,0.0,1.1,4.4,3.1,1.2,1.9
42,Pennsylvania,PA,42101,Philadelphia County,42101000403,Census Tract 4.03; Philadelphia County; Pennsylvania,0.053906016832,1047,320,801,149,716,180,76,71,5,9,87,56,10,19,69,73,83,52,15,3,111,110,0,15,0,44,237,456,771,149,0,11,0,15,276,136,0,11,7.3,6.4,0.7,1.2,12.2,7.2,1.0,1.9,6.6,6.9,7.9,5.4,1.4,0.5,10.6,11.1,0.0,2.1,0.0,4.2,22.6,43.0,96.3,5.0,0.0,3.7,0.0,2.1,38.5,21.3,0.0,1.1,0.1592,0.0355,0.0812,0.0422,0.7175,1.0356,0.0986,0.0533,0.0105,0.2634,0.0,0.0,0.3272,0.005,0.6302,0.6302,0.6302,0.9991,0.0,0.0,0.9521,0.0,1.9512,0.3679,3.9442,0.0356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,36050,23,37,29,51,68,80,90,86,6,11,0,11,44,62,0,11,3.2,5.4,2.8,5.1,6.5,7.9,8.6,8.6,0.6,1.1,0.0,2.8,4.2,5.7,0.0,2.8
42,Pennsylvania,PA,42101,Philadelphia County,42101000404,Census Tract 4.04; Philadelphia County; Pennsylvania,0.063353160568,3130,400,2748,286,2292,235,313,132,26,32,501,160,27,32,15,25,1045,177,34,36,461,134,0,15,0,44,680,577,2575,265,0,11,0,15,1368,221,0,11,10.0,4.0,1.2,1.5,21.9,6.6,0.9,1.1,0.5,0.8,33.4,5.3,1.1,1.1,14.7,4.3,0.0,0.7,0.0,1.4,21.7,18.2,93.7,13.7,0.0,1.1,0.0,0.7,59.7,7.9,0.0,0.4,0.2594,0.0682,0.4756,0.0381,0.0291,0.8704,0.0662,0.9689,0.0088,0.5427,0.0,0.0,1.5204,0.0874,0.6179,0.6179,0.6179,0.9976,0.0,0.0,0.9941,0.0,1.9917,0.3888,5.0004,0.1089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,35388,260,202,200,101,31,35,317,144,0,11,0,11,132,106,0,11,11.3,8.5,6.4,3.2,1.0,1.1,10.1,4.9,0.0,1.0,0.0,1.0,4.2,3.4,0.0,1.0
42,Pennsylvania,PA,42101,Philadelphia County,42101000500,Census Tract 5; Philadelphia County; Pennsylvania,0.16554509352,3057,186,1488,148,1269,138,478,91,93,64,463,152,347,104,138,66,111,56,106,79,272,101,5,13,104,64,1959,261,1391,159,0,11,21,15,813,134,1254,39,24.7,4.0,6.6,4.3,36.5,11.3,13.2,4.1,6.8,3.4,3.6,1.9,3.5,2.5,13.5,4.7,0.4,1.0,3.4,2.1,64.1,7.6,93.4,5.3,0.0,2.0,1.7,1.2,64.1,8.6,41.0,2.8,0.7165,0.6892,0.8474,0.8162,0.733,3.8023,0.8703,0.0117,0.0173,0.4564,0.0579,0.8515,1.3948,0.0641,0.8875,0.8875,0.8875,0.9974,0.0,0.6956,0.9971,0.9812,3.6713,0.9715,9.7559,0.8264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,34903,98,38,885,152,299,84,507,166,45,43,0,11,218,131,5,8,7.7,3.1,28.9,5.1,9.8,2.7,16.6,4.9,1.5,1.4,0.0,1.0,7.1,4.3,0.2,0.3
42,Pennsylvania,PA,42101,Philadelphia County,42101000600,Census Tract 6; Philadelphia County; Pennsylvania,0.066661282504,1536,218,1396,174,1028,145,158,82,55,60,336,140,28,41,25,40,112,77,11,17,127,115,0,15,2,42,630,302,1210,180,2,7,12,21,480,143,39,6,10.6,5.3,4.5,4.8,32.7,12.8,2.2,3.2,1.6,2.7,7.3,5.1,0.7,1.1,8.4,7.4,0.0,1.5,0.1,2.8,41.0,18.8,86.7,7.0,0.1,0.5,1.2,2.0,46.7,11.1,2.5,0.2,0.2779,0.4871,0.7862,0.1202,0.1374,1.8088,0.2892,0.0437,0.0064,0.1348,0.0,0.2989,0.4838,0.0068,0.8002,0.8002,0.8002,0.9932,0.4931,0.6097,0.9753,0.7873,3.8586,0.9885,6.9514,0.3936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,21398,19,18,192,113,109,82,325,156,4,17,0,11,0,11,0,11,1.8,1.8,12.5,7.0,7.1,5.2,21.2,9.6,0.3,1.1,0.0,1.9,0.0,1.9,0.0,1.9
42,Pennsylvania,PA,42101,Philadelphia County,42101000701,Census Tract 7.01; Philadelphia County; Pennsylvania,0.054246944898,1807,343,1639,221,1367,274,319,208,11,18,448,242,85,92,19,30,185,98,0,11,62,46,0,15,0,44,420,478,1503,231,29,46,0,15,801,172,14,2,17.8,11.1,0.7,1.2,32.8,16.4,5.4,6.0,1.1,1.7,10.2,5.0,0.0,1.6,3.4,2.6,0.0,1.1,0.0,2.4,23.2,26.1,91.7,6.8,1.8,2.8,0.0,1.1,58.6,12.9,0.8,0.2,0.5353,0.0355,0.7876,0.379,0.0814,1.8188,0.2939,0.1011,0.0,0.0038,0.0,0.0,0.1049,0.0018,0.6414,0.6414,0.6414,0.9962,0.6483,0.0,0.9932,0.6478,3.2855,0.9029,5.8506,0.2212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,14944,56,29,4,6,104,75,312,130,0,11,0,11,0,11,0,11,4.1,2.2,0.2,0.4,5.8,4.0,17.3,7.3,0.0,1.6,0.0,1.6,0.0,1.6,0.0,1.6
42,Pennsylvania,PA,42101,Philadelphia County,42101000702,Census Tract 7.02; Philadelphia County; Pennsylvania,0.041000557482,2248,497,1691,412,1493,428,246,128,78,68,495,397,89,111,167,212,373,78,44,4,49,37,0,15,86,119,1136,555,1280,440,0,11,0,15,907,406,0,11,10.9,5.2,4.6,4.5,33.2,24.8,4.3,5.5,7.4,9.5,16.6,4.7,2.0,0.4,2.2,1.8,0.0,1.0,3.8,5.2,50.5,22.0,75.7,18.4,0.0,1.8,0.0,1.0,60.8,12.8,0.0,0.5,0.2905,0.4988,0.7965,0.2916,0.7703,2.6477,0.5566,0.3698,0.0129,0.0015,0.0,0.8682,1.2524,0.0459,0.8415,0.8415,0.8415,0.9888,0.0,0.0,0.9956,0.0,1.9844,0.3844,6.726,0.3601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,4459,48,50,23,52,213,245,740,444,17,25,0,11,143,99,0,11,3.2,3.6,1.0,2.3,9.5,10.5,32.9,15.5,0.8,1.1,0.0,1.3,6.4,4.5,0.0,1.3
