"GEOID","RPL_EBM","RPL_CBM","RPL_HVM","RPL_EJI_CBM"
"42101021600",0.6923,0.8321,0,0.4847
"42101021800",0.5554,0.3548,0.4,0.4694
"42101023100",0.6747,0.3682,0.2,0.2041
"42101024100",0.7639,0.3402,0.6,0.8879
"42101028902",0.9308,0.8123,0.6,0.9872
"42101029100",0.9569,0.838,0.6,0.9941
"42101030501",0.9578,0.3548,0.6,0.9336
"42101032000",0.9507,0.3682,0.6,0.8768
"42101033101",0.8447,0.3551,0.4,0.7389
"42101033200",0.6183,0.8437,0.4,0.8254
"42101034900",0.9847,0.3551,0.6,0.8969
"42101036000",0.9738,0.3551,0.6,0.925
"42101036303",0.7385,0.8327,0,0.4506
"42101989300",NA,0.3169,0.4,NA
"42101000401",0.7566,0.9761,0,0.6834
"42101003902",0.9124,0.3519,0,0.3508
"42101004201",0.9488,0.3098,0,0.4323
"42101008601",0.774,0.3814,0,0.4347
"42101009802",0.5376,0.3814,0.6,0.5207
"42101010600",0.604,0.3511,0.8,0.9043
"42101011100",0.4226,0.3511,0.6,0.6823
"42101013300",0.7841,0.3669,0,0.2216
"42101013402",0.7912,0.3669,0,0.2153
"42101014500",0.7676,0.3545,0.4,0.8291
"42101017601",0.8012,0.3169,0.8,0.9533
"42101019000",0.9397,0.9707,0.6,0.9972
"42101019100",0.9418,0.8184,0.4,0.9698
"42101020400",0.8438,0.3295,0.8,0.931
"42101021100",0.8412,0.3402,0,0.2104
"42101021400",0.7989,0.8259,0,0.4581
"42101021700",0.754,0.3423,0,0.2557
"42101023500",0.7275,0.3402,0,0.1942
"42101023700",0.7659,0.3682,0.4,0.6424
"42101026500",0.4772,0.3682,0.8,0.7955
"42101027100",0.7946,0.3682,0.2,0.6538
"42101027800",0.6964,0.3682,0.8,0.9154
"42101028500",0.8217,0.3295,0.8,0.944
"42101032100",0.9475,0.3682,0.4,0.8309
"42101033900",0.8463,0.3833,0,0.573
"42101020000",0.8424,0.3295,0.8,0.9614
"42101026000",0.6193,0.3682,0.4,0.5216
"42101026100",0.6696,0.3682,0.4,0.6248
"42101028901",0.9389,0.3066,0.6,0.9344
"42101029300",0.8472,0.9707,0.6,0.9937
"42101031600",0.8531,0.3682,0.4,0.81
"42101031700",0.823,0.3682,0.6,0.8924
"42101032900",0.9791,0.9453,0,0.9004
"42101033701",0.5797,0.3719,0.4,0.739
"42101034000",0.8161,0.3833,0,0.3209
"42101034803",0.9272,0.8453,0,0.6965
"42101035701",0.8304,0.3551,0,0.611
"42101037600",0.785,0.3682,0,0.4119
"42101980002",NA,0.8427,0,NA
"42101980500",NA,0.3295,0,NA
"42101002300",0.8124,0.3814,0,0.4228
"42101002802",0.7784,0.3235,0,0.4903
"42101004101",0.918,0.3098,0,0.6455
"42101006200",0.7998,0.3712,0.6,0.8943
"42101006400",0.8951,0.845,0.6,0.9891
"42101006600",0.7399,0.3712,0.8,0.949
"42101007102",0.8144,0.3712,0.8,0.9369
"42101011800",0.6281,0.3511,0.6,0.6869
"42101013800",0.7674,0.3636,0.4,0.6005
"42101014400",0.7683,0.3278,0,0.2789
"42101000500",0.7473,0.3814,0,0.4811
"42101001101",0.8129,0.3814,0,0.392
"42101002500",0.8882,0.3629,0,0.5748
"42101003600",0.9196,0.3712,0.6,0.9272
"42101008301",0.7015,0.8498,0.8,0.9908
"42101011400",0.4676,0.3669,0.4,0.6606
"42101016001",0.839,0.3169,0,0.1905
"42101016500",0.8546,0.3402,0.8,0.9358
"42101017300",0.9137,0.3295,0.8,0.9543
"42101019501",0.9408,0.3169,0.8,0.9721
"42101020102",0.9376,0.3295,0.8,0.9475
"42101020200",0.9492,0.3295,0.4,0.8721
"42101020300",0.8402,0.3295,0.8,0.9584
"42101027600",0.7065,0.3682,0.8,0.824
"42101029200",0.9304,0.8437,0.2,0.8867
"42101032300",0.9893,0.3682,0.6,0.9543
"42101035301",0.8971,0.8453,0,0.7004
"42101035800",0.7579,0.843,0.2,0.8262
"42101037800",0.9856,0.9707,0,0.8177
"42101038400",0.3717,0.3682,0.2,0.1363
"42101980001",NA,0.975,0,NA
"42101031000",0.6381,0.3548,0.4,0.705
"42101031502",0.3603,0.3682,0.4,0.6492
"42101034600",0.8585,0.3719,0,0.5797
"42101036902",0.6821,0.9761,0.2,0.7943
"42101037500",0.4296,0.8498,0,0.5415
"42101038600",0.7673,0.8437,0.2,0.532
"42101980702",NA,0.9698,0,NA
"42101003701",0.9139,0.3519,0.6,0.8429
"42101006000",0.9021,0.9513,0.8,0.9985
"42101008000",0.6314,0.3937,0.2,0.4871
"42101008802",0.7792,0.3814,0.4,0.6197
"42101000200",0.7869,0.3682,0,0.4548
"42101003300",0.9232,0.945,0.6,0.9912
"42101010900",0.7591,0.3669,0.4,0.7805
"42101013701",0.7147,0.341,0,0.1562
"42101024200",0.8394,0.3402,0.6,0.8944
"42101027901",0.8176,0.3682,0.6,0.87
"42101027902",0.7862,0.3682,0.6,0.8244
"42101028200",0.8044,0.3682,0.8,0.9607
"42101033400",0.4426,0.3548,0.4,0.6672
"42101033500",0.637,0.3548,0.4,0.7531
"42101033800",0.7861,0.3833,0,0.5357
"42101034100",0.7912,0.3833,0,0.4868
"42101035100",0.9334,0.9858,0.6,0.9703
"42101036501",0.6737,0.9582,0,0.7286
"42101037300",0.88,0.845,0,0.6456
"42101989200",NA,0.9752,0,NA
"42101019800",0.8583,0.3295,0.4,0.8459
"42101020701",0.9287,0.8259,0,0.5267
"42101025700",0.6417,0.3682,0,0.3477
"42101026200",0.5496,0.3833,0.6,0.6559
"42101026400",0.5267,0.3682,0.6,0.7176
"42101028400",0.8627,0.3295,0.8,0.9574
"42101031200",0.6377,0.3548,0.6,0.7344
"42101031800",0.6654,0.3682,0.6,0.6982
"42101033702",0.6617,0.3719,0,0.2977
"42101034501",0.7898,0.3719,0.6,0.8904
